Rainfall - (MM), Year, Statistics, Country, ISO3
0.01006, 1991, Jan Average, Niger, NER
0.45112, 1991, Feb Average, Niger, NER
1.57147, 1991, Mar Average, Niger, NER
2.1405, 1991, Apr Average, Niger, NER
17.2284, 1991, May Average, Niger, NER
18.6558, 1991, Jun Average, Niger, NER
49.224, 1991, Jul Average, Niger, NER
73.5393, 1991, Aug Average, Niger, NER
8.55794, 1991, Sep Average, Niger, NER
3.19505, 1991, Oct Average, Niger, NER
0.02614, 1991, Nov Average, Niger, NER
0, 1991, Dec Average, Niger, NER
0.01006, 1992, Jan Average, Niger, NER
0.40594, 1992, Feb Average, Niger, NER
1.07528, 1992, Mar Average, Niger, NER
2.04527, 1992, Apr Average, Niger, NER
10.13, 1992, May Average, Niger, NER
15.7197, 1992, Jun Average, Niger, NER
50.73, 1992, Jul Average, Niger, NER
57.2066, 1992, Aug Average, Niger, NER
20.336, 1992, Sep Average, Niger, NER
2.53689, 1992, Oct Average, Niger, NER
0.14136, 1992, Nov Average, Niger, NER
0, 1992, Dec Average, Niger, NER
0.01006, 1993, Jan Average, Niger, NER
0.40594, 1993, Feb Average, Niger, NER
0.3531, 1993, Mar Average, Niger, NER
1.51453, 1993, Apr Average, Niger, NER
2.74304, 1993, May Average, Niger, NER
15.7432, 1993, Jun Average, Niger, NER
40.5874, 1993, Jul Average, Niger, NER
56.3801, 1993, Aug Average, Niger, NER
19.4901, 1993, Sep Average, Niger, NER
0.53345, 1993, Oct Average, Niger, NER
0.0002, 1993, Nov Average, Niger, NER
4.0E-5, 1993, Dec Average, Niger, NER
0.01006, 1994, Jan Average, Niger, NER
0.40594, 1994, Feb Average, Niger, NER
0.08698, 1994, Mar Average, Niger, NER
1.17001, 1994, Apr Average, Niger, NER
3.74569, 1994, May Average, Niger, NER
15.2073, 1994, Jun Average, Niger, NER
63.7774, 1994, Jul Average, Niger, NER
93.8097, 1994, Aug Average, Niger, NER
40.5952, 1994, Sep Average, Niger, NER
4.3745, 1994, Oct Average, Niger, NER
0.00239, 1994, Nov Average, Niger, NER
0, 1994, Dec Average, Niger, NER
0.01006, 1995, Jan Average, Niger, NER
0.40594, 1995, Feb Average, Niger, NER
0.15633, 1995, Mar Average, Niger, NER
3.46805, 1995, Apr Average, Niger, NER
1.87638, 1995, May Average, Niger, NER
15.7814, 1995, Jun Average, Niger, NER
38.2219, 1995, Jul Average, Niger, NER
62.7358, 1995, Aug Average, Niger, NER
21.1186, 1995, Sep Average, Niger, NER
0.57141, 1995, Oct Average, Niger, NER
0.04175, 1995, Nov Average, Niger, NER
0, 1995, Dec Average, Niger, NER
0.01006, 1996, Jan Average, Niger, NER
0.54165, 1996, Feb Average, Niger, NER
0.22154, 1996, Mar Average, Niger, NER
0.8034, 1996, Apr Average, Niger, NER
6.5362, 1996, May Average, Niger, NER
21.8042, 1996, Jun Average, Niger, NER
36.5003, 1996, Jul Average, Niger, NER
46.3676, 1996, Aug Average, Niger, NER
21.3197, 1996, Sep Average, Niger, NER
2.18325, 1996, Oct Average, Niger, NER
0, 1996, Nov Average, Niger, NER
0.00026, 1996, Dec Average, Niger, NER
0.01006, 1997, Jan Average, Niger, NER
0.40594, 1997, Feb Average, Niger, NER
0.57312, 1997, Mar Average, Niger, NER
1.12739, 1997, Apr Average, Niger, NER
7.21413, 1997, May Average, Niger, NER
19.6521, 1997, Jun Average, Niger, NER
44.2073, 1997, Jul Average, Niger, NER
56.2748, 1997, Aug Average, Niger, NER
20.011, 1997, Sep Average, Niger, NER
2.69868, 1997, Oct Average, Niger, NER
0.04636, 1997, Nov Average, Niger, NER
0, 1997, Dec Average, Niger, NER
0.01006, 1998, Jan Average, Niger, NER
0.41538, 1998, Feb Average, Niger, NER
0.07304, 1998, Mar Average, Niger, NER
1.96531, 1998, Apr Average, Niger, NER
6.8369, 1998, May Average, Niger, NER
21.9415, 1998, Jun Average, Niger, NER
46.9865, 1998, Jul Average, Niger, NER
68.993, 1998, Aug Average, Niger, NER
45.2086, 1998, Sep Average, Niger, NER
1.89421, 1998, Oct Average, Niger, NER
0.0107, 1998, Nov Average, Niger, NER
0.00034, 1998, Dec Average, Niger, NER
0.01006, 1999, Jan Average, Niger, NER
0.50274, 1999, Feb Average, Niger, NER
0.05301, 1999, Mar Average, Niger, NER
0.4687, 1999, Apr Average, Niger, NER
5.2535, 1999, May Average, Niger, NER
7.24794, 1999, Jun Average, Niger, NER
60.7661, 1999, Jul Average, Niger, NER
112.22, 1999, Aug Average, Niger, NER
36.0745, 1999, Sep Average, Niger, NER
2.75356, 1999, Oct Average, Niger, NER
0.04403, 1999, Nov Average, Niger, NER
0, 1999, Dec Average, Niger, NER
0.01006, 2000, Jan Average, Niger, NER
0.42616, 2000, Feb Average, Niger, NER
0.05134, 2000, Mar Average, Niger, NER
0.53888, 2000, Apr Average, Niger, NER
1.97035, 2000, May Average, Niger, NER
17.3621, 2000, Jun Average, Niger, NER
59.5202, 2000, Jul Average, Niger, NER
50.1699, 2000, Aug Average, Niger, NER
19.7604, 2000, Sep Average, Niger, NER
2.88264, 2000, Oct Average, Niger, NER
0.04799, 2000, Nov Average, Niger, NER
0, 2000, Dec Average, Niger, NER
0.01006, 2001, Jan Average, Niger, NER
0.41998, 2001, Feb Average, Niger, NER
0.05105, 2001, Mar Average, Niger, NER
0.75717, 2001, Apr Average, Niger, NER
4.63473, 2001, May Average, Niger, NER
17.9527, 2001, Jun Average, Niger, NER
49.3125, 2001, Jul Average, Niger, NER
61.3309, 2001, Aug Average, Niger, NER
24.6554, 2001, Sep Average, Niger, NER
0.48593, 2001, Oct Average, Niger, NER
0, 2001, Nov Average, Niger, NER
8.0E-5, 2001, Dec Average, Niger, NER
0.01006, 2002, Jan Average, Niger, NER
0.42191, 2002, Feb Average, Niger, NER
0.06135, 2002, Mar Average, Niger, NER
0.58249, 2002, Apr Average, Niger, NER
2.6517, 2002, May Average, Niger, NER
12.9365, 2002, Jun Average, Niger, NER
44.4525, 2002, Jul Average, Niger, NER
50.7609, 2002, Aug Average, Niger, NER
26.3113, 2002, Sep Average, Niger, NER
7.0181, 2002, Oct Average, Niger, NER
0.0003, 2002, Nov Average, Niger, NER
0, 2002, Dec Average, Niger, NER
0.01006, 2003, Jan Average, Niger, NER
0.43642, 2003, Feb Average, Niger, NER
0.2267, 2003, Mar Average, Niger, NER
1.76472, 2003, Apr Average, Niger, NER
6.80712, 2003, May Average, Niger, NER
28.2651, 2003, Jun Average, Niger, NER
59.0298, 2003, Jul Average, Niger, NER
84.4522, 2003, Aug Average, Niger, NER
25.5959, 2003, Sep Average, Niger, NER
2.33378, 2003, Oct Average, Niger, NER
0.04033, 2003, Nov Average, Niger, NER
0, 2003, Dec Average, Niger, NER
0.01006, 2004, Jan Average, Niger, NER
0.42284, 2004, Feb Average, Niger, NER
0.05506, 2004, Mar Average, Niger, NER
2.12201, 2004, Apr Average, Niger, NER
8.63084, 2004, May Average, Niger, NER
11.5117, 2004, Jun Average, Niger, NER
52.3398, 2004, Jul Average, Niger, NER
80.3176, 2004, Aug Average, Niger, NER
12.8834, 2004, Sep Average, Niger, NER
0.27699, 2004, Oct Average, Niger, NER
0.03328, 2004, Nov Average, Niger, NER
0, 2004, Dec Average, Niger, NER
0.01006, 2005, Jan Average, Niger, NER
0.58594, 2005, Feb Average, Niger, NER
0.22147, 2005, Mar Average, Niger, NER
0.65393, 2005, Apr Average, Niger, NER
10.5988, 2005, May Average, Niger, NER
34.7345, 2005, Jun Average, Niger, NER
49.8738, 2005, Jul Average, Niger, NER
72.7763, 2005, Aug Average, Niger, NER
27.6577, 2005, Sep Average, Niger, NER
5.04504, 2005, Oct Average, Niger, NER
0, 2005, Nov Average, Niger, NER
0, 2005, Dec Average, Niger, NER
0.01006, 2006, Jan Average, Niger, NER
0.57407, 2006, Feb Average, Niger, NER
0.05105, 2006, Mar Average, Niger, NER
0.19612, 2006, Apr Average, Niger, NER
4.30899, 2006, May Average, Niger, NER
12.889, 2006, Jun Average, Niger, NER
39.3606, 2006, Jul Average, Niger, NER
84.4043, 2006, Aug Average, Niger, NER
28.2741, 2006, Sep Average, Niger, NER
3.57453, 2006, Oct Average, Niger, NER
0.00275, 2006, Nov Average, Niger, NER
0, 2006, Dec Average, Niger, NER
0.01006, 2007, Jan Average, Niger, NER
0.46994, 2007, Feb Average, Niger, NER
1.79259, 2007, Mar Average, Niger, NER
0.86713, 2007, Apr Average, Niger, NER
5.3474, 2007, May Average, Niger, NER
14.9279, 2007, Jun Average, Niger, NER
59.9297, 2007, Jul Average, Niger, NER
96.4864, 2007, Aug Average, Niger, NER
28.567, 2007, Sep Average, Niger, NER
0.10259, 2007, Oct Average, Niger, NER
0.05479, 2007, Nov Average, Niger, NER
0.00065, 2007, Dec Average, Niger, NER
0.01006, 2008, Jan Average, Niger, NER
0.42202, 2008, Feb Average, Niger, NER
0.05856, 2008, Mar Average, Niger, NER
0.42329, 2008, Apr Average, Niger, NER
7.91867, 2008, May Average, Niger, NER
23.8683, 2008, Jun Average, Niger, NER
52.8229, 2008, Jul Average, Niger, NER
72.3937, 2008, Aug Average, Niger, NER
23.874, 2008, Sep Average, Niger, NER
1.78012, 2008, Oct Average, Niger, NER
0.00421, 2008, Nov Average, Niger, NER
0.00224, 2008, Dec Average, Niger, NER
0.01006, 2009, Jan Average, Niger, NER
0.44219, 2009, Feb Average, Niger, NER
0.18926, 2009, Mar Average, Niger, NER
0.78455, 2009, Apr Average, Niger, NER
7.603, 2009, May Average, Niger, NER
15.6683, 2009, Jun Average, Niger, NER
41.8129, 2009, Jul Average, Niger, NER
66.5468, 2009, Aug Average, Niger, NER
21.3129, 2009, Sep Average, Niger, NER
5.46948, 2009, Oct Average, Niger, NER
0.0302, 2009, Nov Average, Niger, NER
0.00046, 2009, Dec Average, Niger, NER
0.01006, 2010, Jan Average, Niger, NER
0.42343, 2010, Feb Average, Niger, NER
0.12781, 2010, Mar Average, Niger, NER
1.74398, 2010, Apr Average, Niger, NER
4.09621, 2010, May Average, Niger, NER
26.911, 2010, Jun Average, Niger, NER
57.8172, 2010, Jul Average, Niger, NER
62.7878, 2010, Aug Average, Niger, NER
28.1569, 2010, Sep Average, Niger, NER
5.38521, 2010, Oct Average, Niger, NER
0.01041, 2010, Nov Average, Niger, NER
0, 2010, Dec Average, Niger, NER
0.01006, 2011, Jan Average, Niger, NER
0.63398, 2011, Feb Average, Niger, NER
0.216, 2011, Mar Average, Niger, NER
0.38973, 2011, Apr Average, Niger, NER
3.22857, 2011, May Average, Niger, NER
22.4465, 2011, Jun Average, Niger, NER
35.0852, 2011, Jul Average, Niger, NER
62.9503, 2011, Aug Average, Niger, NER
23.6545, 2011, Sep Average, Niger, NER
3.21585, 2011, Oct Average, Niger, NER
0, 2011, Nov Average, Niger, NER
0.03785, 2011, Dec Average, Niger, NER
0.01006, 2012, Jan Average, Niger, NER
0.67297, 2012, Feb Average, Niger, NER
0.15607, 2012, Mar Average, Niger, NER
1.64494, 2012, Apr Average, Niger, NER
6.93845, 2012, May Average, Niger, NER
20.4473, 2012, Jun Average, Niger, NER
58.4524, 2012, Jul Average, Niger, NER
82.2149, 2012, Aug Average, Niger, NER
38.9297, 2012, Sep Average, Niger, NER
3.62968, 2012, Oct Average, Niger, NER
0.00015, 2012, Nov Average, Niger, NER
0.04535, 2012, Dec Average, Niger, NER
0.01006, 2013, Jan Average, Niger, NER
0.49562, 2013, Feb Average, Niger, NER
0.21329, 2013, Mar Average, Niger, NER
7.61959, 2013, Apr Average, Niger, NER
3.71137, 2013, May Average, Niger, NER
15.04, 2013, Jun Average, Niger, NER
42.6913, 2013, Jul Average, Niger, NER
96.418, 2013, Aug Average, Niger, NER
18.0173, 2013, Sep Average, Niger, NER
2.75481, 2013, Oct Average, Niger, NER
0.00677, 2013, Nov Average, Niger, NER
0.00022, 2013, Dec Average, Niger, NER
0.01006, 2014, Jan Average, Niger, NER
0.43522, 2014, Feb Average, Niger, NER
0.05548, 2014, Mar Average, Niger, NER
2.35025, 2014, Apr Average, Niger, NER
7.44845, 2014, May Average, Niger, NER
11.269, 2014, Jun Average, Niger, NER
42.8673, 2014, Jul Average, Niger, NER
62.7741, 2014, Aug Average, Niger, NER
32.0907, 2014, Sep Average, Niger, NER
2.46497, 2014, Oct Average, Niger, NER
0.00029, 2014, Nov Average, Niger, NER
0, 2014, Dec Average, Niger, NER
0.01006, 2015, Jan Average, Niger, NER
0.53019, 2015, Feb Average, Niger, NER
0.65348, 2015, Mar Average, Niger, NER
0.3234, 2015, Apr Average, Niger, NER
1.06717, 2015, May Average, Niger, NER
10.6574, 2015, Jun Average, Niger, NER
49.6855, 2015, Jul Average, Niger, NER
93.3418, 2015, Aug Average, Niger, NER
21.7515, 2015, Sep Average, Niger, NER
5.2287, 2015, Oct Average, Niger, NER
0.00097, 2015, Nov Average, Niger, NER
0.00655, 2015, Dec Average, Niger, NER
0.01006, 2016, Jan Average, Niger, NER
0.43771, 2016, Feb Average, Niger, NER
0.19152, 2016, Mar Average, Niger, NER
1.89678, 2016, Apr Average, Niger, NER
6.00588, 2016, May Average, Niger, NER
29.1869, 2016, Jun Average, Niger, NER
61.9636, 2016, Jul Average, Niger, NER
70.5728, 2016, Aug Average, Niger, NER
28.9177, 2016, Sep Average, Niger, NER
1.91832, 2016, Oct Average, Niger, NER
0, 2016, Nov Average, Niger, NER
0, 2016, Dec Average, Niger, NER
